,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,-0.046974365,-0.11366982,0.08245563,-0.17552553,-0.28219655,-0.38804305,-0.34563425,-0.16802992,-0.40873307,0.03280259,0.06664672,0.26665154,0.10716936,0.019991431,-0.11725519,0.016130999,0.015113817,-0.17693903,0.28926003,0.5256666,0.47348854,0.019477313,0.41900355,0.30701667,-0.0073951404,0.26197818,0.2940786
1,0.11333188,-0.016836988,0.35123608,-0.21009807,0.100379646,-0.28389153,0.08228797,-0.02742961,-0.19789317,0.1110672,0.27678615,0.22054178,-0.18510462,-0.28129095,0.008135055,0.111472316,-0.051775977,-0.26376885,-0.12263789,0.20960313,0.3087278,0.16902603,0.09956871,-0.20584172,0.037063695,-0.04383685,-0.18726063
2,0.5603647,0.2588919,-0.18903361,0.2184594,-0.46074438,-0.090588205,-0.3414243,0.035724882,0.032322977,0.17683826,0.07111773,-0.40392143,-0.14784232,-0.48885706,-0.011498702,-0.18494345,0.10063341,0.29088467,0.4256249,0.10104093,-0.3230316,-0.118550725,-0.33347908,0.18839735,-0.21273223,0.10884312,0.33209595
3,0.15548693,0.10568751,0.19146258,0.013405798,-0.046982877,0.21746115,-0.351244,-0.21849036,-0.33474615,0.077374555,0.18611,0.13671325,-0.097955965,0.08383749,0.29059443,-0.3742999,-0.1761175,-0.29589176,0.13412358,0.12843774,-0.2248565,0.154723,-0.025107052,0.31136125,-0.0036503163,-0.27910778,0.035276413
4,0.047420792,0.055254772,-0.045998186,0.10799701,0.15397517,0.20730712,0.12588389,0.20307495,0.056555327,-0.045294575,0.061426196,-0.018575396,-0.023169624,0.071669966,-0.05042626,-0.32536885,-0.08851001,0.07855989,0.22288726,0.28175372,-0.03652358,0.0022314445,0.13571882,0.08948386,0.052203476,-0.13077895,-0.1853416
5,-0.19478165,-0.37520763,0.13185178,-0.057497445,-0.16567639,0.06474353,0.24790129,0.28370914,-0.39866537,-0.009603163,-0.02407356,0.19986987,0.030768856,0.09274063,0.42559344,0.40566915,0.4258418,-0.059613302,-0.12472717,-0.38349688,0.16037726,-0.26249424,0.08431667,0.06606336,-0.05721935,0.24192072,-0.50525445
6,-0.33588427,-0.3557932,-0.27711007,0.014193148,-9.7684984e-05,-0.15206635,0.35798314,0.45080116,0.16910404,-0.27720684,-0.23032522,-0.17555727,-0.20172596,-0.10362564,-0.009682454,0.05425173,0.089185424,0.20420474,0.21588184,0.024629366,0.15244992,0.15496592,0.1890234,0.21225585,0.09149907,-0.08107373,0.16852237
7,-0.269508,0.05882976,-0.048682224,-0.20777886,-0.16448072,0.26030022,0.09487933,-0.2749348,-0.18950452,-0.09052192,0.21272397,0.042599976,-0.14635505,-0.031404264,0.30074143,0.2723876,-0.13244967,-0.09726345,-0.21732922,0.27684283,0.08683512,-0.31080833,-0.13504605,0.110168405,0.06619736,-0.070920765,-0.07807667
8,-0.111862585,0.11572298,-0.05414766,-0.16873436,-0.18640034,0.16572446,-0.26772296,-0.19822088,0.31797165,0.15916213,-0.13489346,0.0496433,-0.20965204,0.10615339,0.39058504,-0.30659276,-0.10120066,0.3966731,-0.043013625,-0.04920176,0.05209989,-0.21426058,-0.1037169,0.22221804,-0.32944164,0.060975175,0.2074179
9,-0.040521003,-0.04625418,-0.1534731,0.15235487,-0.10412507,-0.025924828,-0.27640912,-0.22527656,-0.27010038,-0.02638749,0.028037153,-0.017141966,0.35380122,0.2423497,0.030884653,-0.05720645,0.06523145,-0.14790173,0.23160551,-0.04552187,-0.04182359,0.090221934,0.26418447,0.1559067,0.19541001,-0.15782468,-0.14272109
10,0.450042,0.38900977,0.27396926,0.095512815,0.082809724,0.08559056,-0.29820913,-0.1030272,-0.05246839,-0.20692667,-0.087641776,0.03194448,-0.42894462,-0.23625089,-0.055340968,-0.34674662,-0.3129408,-0.16659467,-0.22441232,-0.1068071,0.15151832,0.041030213,0.055728264,0.24618347,0.23500183,-0.038708046,0.20565961
11,-0.07203601,-0.48719692,0.12171045,0.25102758,0.13397627,0.21788839,-0.041970927,-0.29205653,0.014187574,0.002744774,-0.44555947,0.052834366,0.21355443,0.16411391,0.3338837,0.033049528,-0.19428404,-0.29264015,0.22803324,-0.39242494,-0.009428286,0.23246011,-0.06377192,0.33552182,-0.05450679,-0.1788404,-0.10776355
12,0.23830754,0.07452954,-0.30033538,0.18902406,0.057969946,-0.36585438,0.29391655,0.06905431,-0.19908255,0.355245,-0.27616617,-0.36337844,0.49297658,0.008003836,-0.42129925,0.27372557,0.17355861,-0.40371436,0.41511497,-0.12218574,-0.39817214,0.49645716,0.06769782,-0.480296,0.3058644,0.26866004,-0.45348218
13,-0.24507391,-0.27430642,-0.01020668,-0.2839523,-0.22975527,-0.022929018,-0.36464998,-0.2519099,-0.2712699,-0.06677464,0.013735047,0.036749307,0.037784215,-0.2080524,-0.050042216,-0.106017135,0.09068452,-0.13133392,0.1880579,0.15449926,0.2189646,-0.060850617,0.24243137,0.246029,0.08757323,0.19800743,0.076639146
14,-0.20092173,0.0064618,-0.30179703,-0.20903137,-0.17806293,-0.014076608,0.25543416,0.09399738,-0.0705462,-0.09803695,-0.28686497,-0.18772466,0.047561914,-0.050064035,-0.056405585,0.1471129,0.04109149,0.28783426,-0.033404846,-0.06839816,-0.16821726,0.073544234,0.09269619,0.14322783,-0.0064338297,0.32821926,0.25751996
15,-0.20254496,0.19480889,0.3555895,-0.124320395,0.23638697,0.3273137,-0.1879076,0.16221537,0.041980177,-0.43804744,-0.11351741,-0.05642533,-0.4191756,-0.100667164,0.0966678,-0.3723323,-0.039568223,0.32787403,-0.15218137,-0.20426625,0.27912298,-0.36126268,0.06995243,0.28015506,-0.11047548,0.27601394,0.26681092
